POS,PLAYER,Mat,Inns,Runs,HS,Avg,BF,SR,100,50,4s,Ov,Wkts,BBI,Avg,Econ,SR,4w,5w
,kedar Jadhav,87,75,1141,69,22.82,919,124.15,0,4,99,,,,,,,,
,irfan pathan,103,82,1139,60,21.49,946,120.40 ,0,1,87,,,,,,,,
,matthew hayden,32,32,1107,93,36.90 ,805,137.51,0,8,121,,,,,,,,
,eoin Morgan,62,54,1102,66,23.95,892,123.54,0,4,87,,,,,,,,
,lendl simmons,29,29,1079,100*,39.96,852,126.64,1,11,109,,,,,,,,
,ross taylor,55,54,1017,81*,25.42,822,123.72,0,3,66,,,,,,,,
,manan vohra,49,45,1012,95,23.53,768,131.77,0,3,97,,,,,,,,
,kevin pietersen,36,36,1001,103*,37.07,743,134.72,1,4,91,,,,,,,,
,venugopal rao,65,54,985,71*,22.38,836,117.82,0,3,77,,,,,,,,
,albie morkel,91,68,974,73*,24.35,686,141.98,0,3,61,,,,,,,,
,andrew symonds,39,36,974,117*,36.07,750,129.86,1,5,74,,,,,,,,
,krunal Pandya,64,55,973,86,26.29,674,144.36,0,1,94,,,,,,,,
,moises henriques,57,50,969,74*,28.50 ,756,128.17,0,5,87,,,,,,,,
,cameron white,47,45,954,78,26.50 ,755,126.35,0,6,76,,,,,,,,
,rahul tripathi,41,40,926,93,25.72,681,135.97,0,5,90,,,,,,,,
,Ishan Kishan,44,39,888,99,22.76,667,133.13,0,4,71,,,,,,,,
,herschelle gibbs,36,36,886,69*,27.68,807,109.78,0,6,83,,,,,,,,
,stuart binny,95,68,880,48*,19.55,683,128.84,0,0,66,,,,,,,,
,axar patel,91,68,852,44,18.52,662,128.70 ,0,0,50,,,,,,,,
,harbhajan singh,160,88,829,64,15.64,600,138.16,0,1,79,,,,,,,,
,sunil Narine,116,82,815,75,16.63,498,163.65,0,3,96,,,,,,,,
,shubman Gill,37,34,811,76,35.26,654,124.00 ,0,6,72,,,,,,,,
,Prithvi Shaw,35,35,807,99,23.05,572,141.08,0,6,95,,,,,,,,
,manvinder bisla,39,39,798,92,21.00 ,702,113.67,0,4,93,,,,,,,,
,sanath jayasuriya,30,30,772,114*,27.57,532,145.11,1,4,85,,,,,,,,
,jonny Bairstow,19,19,761,114,44.76,528,144.12,1,5,74,,,,,,,,
,shakib al hasan,63,46,746,66*,21.31,589,126.65,0,2,70,,,,,,,,
,graeme smith,29,29,739,91,28.42,668,110.62,0,4,94,,,,,,,,
,angelo mathews,49,42,724,65*,23.35,575,125.91,0,1,44,,,,,,,,
,ben Stokes,38,37,715,103*,22.34,552,129.52,1,1,55,,,,,,,,
,marcus Stoinis,39,35,699,53*,30.39,507,137.86,0,3,53,,,,,,,,
,tirumalasetti suman,43,40,676,78*,21.12,575,117.56,0,2,55,,,,,,,,
,abhishek nayar,60,50,672,45*,17.68,577,116.46,0,0,55,,,,,,,,
,george bailey,40,37,663,61*,24.55,544,121.87,0,2,59,,,,,,,,
,jesse ryder,29,29,604,86,21.57,458,131.87,0,4,69,,,,,,,,
,piyush Chawla,164,89,584,24*,11.91,524,111.45,0,0,54,,,,,,,,
,hashim amla,16,16,577,104*,44.38,407,141.76,2,3,60,,,,,,,,
